GEOID,NAME,STATE,min_elevation,max_elevation,mean_elevation
06091,Sierra,California,0.0,2624.744140625,1109.8238525390625
32001,Churchill,Nevada,0.0,2898.775390625,1203.826904296875
32013,Humboldt,Nevada,0.0,2830.19580078125,1151.82275390625
41035,Klamath,Oregon,0.0,2397.4482421875,1406.2099609375
41029,Jackson,Oregon,0.0,2627.6416015625,1280.899169921875
06067,Sacramento,California,-6.550478458404541,220.11575317382812,12.90692138671875
06009,Calaveras,California,0.0,2445.7900390625,300.0269775390625
32021,Mineral,Nevada,0.0,3292.783203125,1044.8197021484375
06097,Sonoma,California,-0.28639647364616394,726.1103515625,25.095293045043945
06061,Placer,California,0.0,2657.9990234375,513.8141479492188
06075,San Francisco,California,-1.4141206741333008,204.1234130859375,10.014546394348145
06041,Marin,California,-1.626173973083496,240.33978271484375,3.6725547313690186
06043,Mariposa,California,0.0,3553.6064453125,820.9462280273438
06035,Lassen,California,0.0,2571.181640625,1073.3846435546875
32023,Nye,Nevada,0.0,2886.90478515625,515.07080078125
06055,Napa,California,0.0,793.3206176757812,161.70220947265625
06089,Shasta,California,0.0,3040.04833984375,798.581787109375
41037,Lake,Oregon,0.0,2468.274169921875,1277.1640625
06105,Trinity,California,0.0,2586.423583984375,99.14041900634766
32005,Douglas,Nevada,0.0,2844.775634765625,911.097900390625
41045,Malheur,Oregon,0.0,2400.849609375,1542.88330078125
06051,Mono,California,0.0,4144.62060546875,853.2327880859375
06109,Tuolumne,California,0.0,3755.060791015625,876.7730712890625
06095,Solano,California,-2.815230369567871,799.6258544921875,28.56001853942871
32510,Carson City,Nevada,0.0,2726.812255859375,918.1874389648438
06013,Contra Costa,California,-5.714839935302734,1031.2811279296875,81.84839630126953
06003,Alpine,California,0.0,3363.57666015625,1441.704345703125
06017,El Dorado,California,0.0,3151.904296875,849.9208984375
06113,Yolo,California,-0.19787535071372986,856.5921630859375,52.05537414550781
06115,Yuba,California,0.0,1405.7147216796875,120.26558685302734
41025,Harney,Oregon,0.0,2526.65380859375,1040.702392578125
32019,Lyon,Nevada,0.0,3047.053466796875,679.960693359375
06011,Colusa,California,0.0,1045.1741943359375,116.84596252441406
32015,Lander,Nevada,0.0,2932.25732421875,314.1711730957031
06049,Modoc,California,0.0,2891.366943359375,1482.3970947265625
06019,Fresno,California,0.0,3763.931884765625,159.9678497314453
06039,Madera,California,0.0,3747.127685546875,648.296630859375
06103,Tehama,California,0.0,2589.861328125,397.9962158203125
32031,Washoe,Nevada,0.0,3121.901123046875,1238.1461181640625
32029,Storey,Nevada,0.0,2315.362548828125,729.773193359375
06077,San Joaquin,California,-5.888674259185791,936.3284912109375,34.29629898071289
06001,Alameda,California,-0.13676311075687408,1127.0064697265625,120.84272003173828
06057,Nevada,California,0.0,2688.439697265625,491.5456237792969
06007,Butte,California,0.0,2110.605224609375,250.0433807373047
06047,Merced,California,0.0,217.9539794921875,16.122459411621094
06099,Stanislaus,California,0.0,918.2827758789062,26.306705474853516
06101,Sutter,California,0.0,459.0983581542969,12.765536308288574
32027,Pershing,Nevada,0.0,2874.122314453125,1321.12060546875
06005,Amador,California,0.0,2747.19140625,276.98870849609375
32009,Esmeralda,Nevada,0.0,3829.514404296875,1041.74267578125
06033,Lake,California,0.0,1031.4541015625,115.85057830810547
06063,Plumas,California,0.0,2475.890869140625,961.0208129882812
06081,San Mateo,California,-0.007974166423082352,511.6162109375,50.165035247802734
06093,Siskiyou,California,0.0,4130.80078125,1129.9542236328125
06021,Glenn,California,0.0,553.1096801757812,87.89488983154297
